sample	name
FP200000611TR_F1	Glutamicibacter
SS200000726BL_E3	Vibrio
D01574E3	Cutibacterium
C01838C2	Helicobacter
FP200000421BR_D4	Micromonospora
SS200000114BR_C1	Pseudomonas
D02173F5	Streptomyces
D02173E3	Naegleria
FP200000611TR_F1	Brachybacterium
SS200001472BR_B5	Stenotrophomonas
D02173E3	Streptomyces
FP200000586TR_A1	Micromonospora
SS200001472BR_A5	Staphylococcus
D02165E6	Pseudomonas
D02172E6	Streptomyces
A01894F4	Vibrio
FP200000421BR_D4	Vibrio
D02165D2	Micromonospora
FP200000611TR_F1	Nocardioides
SS200000553BL_B1	Amycolatopsis
B02210F4	Streptomyces
D02165D2	Vibrio
C01838C2	Bacillus
D02173E6	Micromonospora
D02173E3	Vibrio
D02165D3	Naegleria
D01574E3	Burkholderia
D02165E3	Vibrio
SS200000726BL_E1	Vibrio
D02069C1	Vibrio
D02173E4	Naegleria
D02165E1	Stenotrophomonas
FP200000421BR_E4	Vibrio
D02173E6	Pseudomonas
D02165E3	Streptomyces
D02172E3	Pseudomonas
FP200000421BR_E3	Streptomyces
SS200001472BR_B4	Vibrio
B02210F4	Vibrio
D02172E3	Streptomyces
A02184A1	Vibrio
FP200000421BR_E4	Micromonospora
A01892C2	Pseudomonas
A01890D2	Streptomyces
D02165E4	Stenotrophomonas
SS200000114BR_A2	Naegleria
A01892B6	Naegleria
C01838C4	Helicobacter
SS200000863BR_C2	Stenotrophomonas
SS200000726BL_E1	Stenotrophomonas
SS200000553BL_B6	Acinetobacter
A01892B6	Staphylococcus
D02069C1	Streptomyces
A01894D6	Vibrio
SS200000726BL_D6	Vibrio
FP200000586TR_A1	Sphingomonas
SS200000114BR_A4	Naegleria
D02165E3	Naegleria
SS200000121BL_D3	Streptomyces
FP200000611TR_F1	Sphingomonas
SS200000158BL_E6	Streptomyces
C01838C2	Naegleria
A01890D1	Vibrio
D02165D3	Pseudomonas
D02165D4	Bacteroides
D02069C2	Pseudomonas
D02165C6	Staphylococcus
D02165E2	Pseudomonas
D02165D5	Acinetobacter
SS200000726BL_E3	Streptomyces
A01894E6	Stenotrophomonas
D02165D5	Listeria
SS200000726BL_E1	Streptomyces
SS200000115BR_D4	Naegleria
D02173E3	Micromonospora
SS200000553BL_C1	Vibrio
FP200000421BR_E3	Naegleria
A01892B6	Sphingomonas
D02165D6	Pseudomonas
SS200000553BL_A2	Helicobacter
A01890D1	Streptomyces
SS200000115BR_E2	Vibrio
D02173E4	Vibrio
SS200000553BL_A2	Staphylococcus
FP200000421BR_D4	Pseudomonas
D02173F6	Pseudomonas
SS200000553BL_B6	Amycolatopsis
C01838C2	Caulobacter
SS200000115BR_F4	Stenotrophomonas
D01574E3	Naegleria
FP200000586TR_A1	Clostridium
SS200000553BL_A2	Micromonospora
SS200000553BL_C1	Stenotrophomonas
D01574E3	Pseudomonas
A02184A1	Streptomyces
A01894F4	Streptomyces
SS200000553BL_B1	Micromonospora
SS200000726BL_D6	Streptomyces
D02165C6	Streptococcus
B02210F4	Burkholderia
